NamesReview,GN6,GP6,AN6,AP6,DKN6,DKP6,GN5,GP5,AN5,AP5,DKN5,DKP5,GN4,GP4,AN4,AP4,DKN4,DKP4,GN3,GP3,AN3,AP3,DKN3,DKP3,GN2,GP2,AN2,AP2,DKN2,DKP2,GN1,GP1,AN1,AP1,DKN1,DKP1
Canada,18264,61.9,8557,29,2695,9.1,19658,66.6,8355,28.3,1504,5.1,16364,55.4,10153,34.4,2999,10.2,19440,65.9,7353,24.9,2723,9.2,16653,56.4,7735,26.2,5129,17.4,18240,61.8,10049,34,1227,4.2
Newfoundland and Labrador,284,66.2,122,28.4,23,5.3,281,65.5,137,32,11,2.5,263,61.3,142,33,25,5.7,319,74.4,82,19.1,28,6.5,222,51.7,153,35.7,54,12.6,239,55.6,184,42.9,6,1.5
Prince Edward Island,89,72.6,28,23.1,5,4.4,86,70.3,33,27.2,3,2.5,75,61.4,40,32.6,7,6,92,75.7,22,18.1,8,6.2,80,65.9,30,24.4,12,9.6,77,63.5,43,34.9,2,1.6
Nova Scotia,501,62.9,248,31.1,47,6,526,66.1,250,31.3,21,2.6,446,56,303,38.1,47,5.9,568,71.3,191,24,37,4.7,453,56.9,240,30.2,103,12.9,455,57.2,328,41.3,12,1.5
New Brunswick,434,68.7,167,26.4,31,4.9,447,70.8,170,26.8,15,2.4,377,59.7,221,35,33,5.3,452,71.6,140,22.1,39,6.2,376,59.5,179,28.3,77,12.2,408,64.6,212,33.5,12,1.9
Quebec,4644,68.3,1575,23.2,576,8.5,4955,72.9,1544,22.7,296,4.4,4004,58.9,2086,30.7,706,10.4,4361,64.2,1756,25.8,677,10,4427,65.1,1510,22.2,859,12.6,4638,68.2,1913,28.1,245,3.6
Ontario,6747,59.1,3378,29.6,1292,11.3,7506,65.7,3217,28.2,694,6.1,6159,53.9,3888,34.1,1371,12,7454,65.3,2765,24.2,1198,10.5,6178,54.1,2680,23.5,2560,22.4,7066,61.9,3741,32.8,611,5.4
Manitoba,602,58,350,33.7,86,8.3,630,60.7,361,34.7,47,4.6,540,52,403,38.8,96,9.2,673,64.8,279,26.8,86,8.3,481,46.3,409,39.3,149,14.3,547,52.7,450,43.3,42,4
Saskatchewan,528,59.4,316,35.5,45,5.1,534,60,319,35.9,36,4,468,52.6,345,38.8,76,8.6,602,67.7,232,26.1,55,6.2,424,47.8,343,38.6,121,13.6,480,54,388,43.7,20,2.3
Alberta,2031,61,1067,32.1,229,6.9,2135,64.2,1054,31.7,138,4.1,1896,57,1194,35.9,237,7.1,2209,66.4,888,26.7,230,6.9,1826,54.9,1017,30.6,484,14.5,1971,59.3,1246,37.5,110,3.3
British Columbia,2357,59.2,1268,31.9,356,8.9,2506,62.9,1237,31.1,238,6,2099,52.7,1487,37.4,395,9.9,2651,66.6,971,24.4,359,9,2146,53.9,1134,28.5,702,17.6,2315,58.1,1503,37.8,164,4.1
Yukon,15,49.9,13,42.6,2,7.5,18,59.4,10,35,2,5.6,13,42.7,14,46,3,11.3,20,65.6,8,28.2,2,6.2,14,48.1,11,37.3,4,14.6,15,50.1,14,45.5,1,4.4
Northwest Territories,18,53.5,14,42.5,1,4,19,57.1,14,40.5,1,2.4,14,42.2,17,51.5,2,6.2,22,64.8,10,29.4,2,5.8,14,41.5,16,49.1,3,9.4,17,51,16,46.9,1,2.1
Nunavut,13,52.5,11,42.3,,,14,57.4,9,37.4,1,5.1,10,40.8,13,51.8,2,7.3,15,61.7,8,32.9,,,10,41.1,13,50.9,2,8,11,43.6,13,51,1,5.3
