Names,GN1M,GN1F,GN2M,GN2F,GN3M,GN3F,GN4M,GN4F,GN5M,GN5F,GN6M,GN6F
Newfoundland and Labrador,112,127,105,117,154,165,125,138,139,142,138,146
Prince Edward Island,36,42,39,41,45,47,35,40,41,44,43,45
Nova Scotia,214,242,210,243,269,299,202,244,250,276,241,260
New Brunswick,189,219,171,205,211,242,178,199,215,232,211,223
Quebec,2279,2359,2197,2229,2121,2241,1976,2027,2451,2504,2305,2339
Ontario,3433,3633,3042,3136,3686,3769,2974,3185,3753,3753,3395,3352
Manitoba,273,274,242,239,324,350,255,285,313,317,307,295
Saskatchewan,227,253,201,224,286,316,233,235,260,274,266,262
Alberta,970,1002,908,918,1100,1110,948,948,1081,1054,1002,1029
British Columbia,1100,1215,995,1152,1330,1322,1012,1088,1225,1281,1153,1204
Yukon,8,7,8,7,10,9,7,6,10,8,8,7
Northwest Territories,8,9,7,7,11,11,7,7,10,9,10,8
Nunavut,5,6,5,5,8,7,5,5,8,7,7,6
,,,,,,,,,,,,
Names,GP1M,GP1F,GP2M,GP2F,GP3M,GP3F,GP4M,GP4F,GP5M,GP5F,GP6M,GP6F
Newfoundland and Labrador,53.6,57.6,50.2,53.2,73.7,75,59.7,62.8,66.6,64.4,66.1,66.3
Prince Edward Island,60.2,66.7,66.5,65.4,76.5,75,59.9,62.9,70,70.6,73.6,71.6
Nova Scotia,55.7,58.6,54.6,59,70,72.6,52.7,59.1,65.2,66.9,62.8,63
New Brunswick,61.2,67.8,55.4,63.3,68.4,74.7,57.8,61.6,69.7,71.8,68.4,69
Quebec,67.7,68.8,65.2,65.1,63,65.4,58.7,59.1,72.8,73.1,68.4,68.3
Ontario,61.4,62.4,54.4,53.8,65.9,64.7,53.2,54.7,67.1,64.4,60.7,57.5
Manitoba,52.9,52.4,46.8,45.8,62.8,66.9,49.4,54.6,60.7,60.8,59.4,56.5
Saskatchewan,50.9,57.1,45.1,50.4,64.2,71.3,52.4,52.8,58.4,61.7,59.8,59.1
Alberta,57.1,61.5,53.5,56.4,64.8,68.1,55.8,58.2,63.7,64.7,59,63.2
British Columbia,56.1,60.1,50.7,57,67.8,65.4,51.6,53.8,62.5,63.4,58.8,59.6
Yukon,51.3,48.9,52.8,43.4,68.4,62.8,46.6,38.9,64,54.8,54.4,45.5
Northwest Territories,47.6,54.7,39.9,43.1,63.2,66.6,41.7,42.8,57.7,56.3,55.3,51.6
Nunavut,41.9,45.4,40.4,41.8,64.6,58.6,41.5,40.1,59.4,55.4,54,51.1
,,,,,,,,,,,,
Names,AN1M,AN1F,AN2M,AN2F,AN3M,AN3F,AN4M,AN4F,AN5M,AN5F,AN6M,AN6F
Newfoundland and Labrador,95,89,81,72,43,39,75,66,66,71,62,60
