Names,Sex ,Number,Percent,SurveyNumber,Rating
Newfoundland and Labrador,Male,112,53.6,Survey1,Good
Prince Edward Island,Male,36,60.2,Survey1,Good
Nova Scotia,Male,214,55.7,Survey1,Good
New Brunswick,Male,189,61.2,Survey1,Good
Quebec,Male,2279,67.7,Survey1,Good
Ontario,Male,3433,61.4,Survey1,Good
Manitoba,Male,273,52.9,Survey1,Good
Saskatchewan,Male,227,50.9,Survey1,Good
Alberta,Male,970,57.1,Survey1,Good
British Columbia,Male,1100,56.1,Survey1,Good
Yukon,Male,8,51.3,Survey1,Good
Northwest Territories,Male,8,47.6,Survey1,Good
Nunavut,Male,5,41.9,Survey1,Good
Newfoundland and Labrador,Female,127,57.6,Survey1,Good
Prince Edward Island,Female,42,66.7,Survey1,Good
Nova Scotia,Female,242,58.6,Survey1,Good
New Brunswick,Female,219,67.8,Survey1,Good
Quebec,Female,2359,68.8,Survey1,Good
Ontario,Female,3633,62.4,Survey1,Good
Manitoba,Female,274,52.4,Survey1,Good
Saskatchewan,Female,253,57.1,Survey1,Good
Alberta,Female,1002,61.5,Survey1,Good
British Columbia,Female,1215,60.1,Survey1,Good
Yukon,Female,7,48.9,Survey1,Good
Northwest Territories,Female,9,54.7,Survey1,Good
Nunavut,Female,6,45.4,Survey1,Good
Newfoundland and Labrador,Male,105,81,Survey2,Good
Prince Edward Island,Male,39,15,Survey2,Good
Nova Scotia,Male,210,124,Survey2,Good
New Brunswick,Male,171,104,Survey2,Good
Quebec,Male,2197,784,Survey2,Good
Ontario,Male,3042,1387,Survey2,Good
Manitoba,Male,242,198,Survey2,Good
Saskatchewan,Male,201,182,Survey2,Good
Alberta,Male,908,561,Survey2,Good
British Columbia,Male,995,630,Survey2,Good
Yukon,Male,8,5,Survey2,Good
Northwest Territories,Male,7,9,Survey2,Good
Nunavut,Male,5,7,Survey2,Good
Newfoundland and Labrador,Female,117,72,Survey2,Good
Prince Edward Island,Female,41,15,Survey2,Good
Nova Scotia,Female,243,116,Survey2,Good
New Brunswick,Female,205,75,Survey2,Good
Quebec,Female,2229,726,Survey2,Good
Ontario,Female,3136,1293,Survey2,Good
Manitoba,Female,239,210,Survey2,Good
Saskatchewan,Female,224,161,Survey2,Good
Alberta,Female,918,456,Survey2,Good
British Columbia,Female,1152,504,Survey2,Good
Yukon,Female,7,6,Survey2,Good
Northwest Territories,Female,7,7,Survey2,Good
Nunavut,Female,5,6,Survey2,Good
Newfoundland and Labrador,Male,154,73.7,Survey3,Good
Prince Edward Island,Male,45,76.5,Survey3,Good
Nova Scotia,Male,269,70,Survey3,Good
New Brunswick,Male,211,68.4,Survey3,Good
Quebec,Male,2121,63,Survey3,Good
Ontario,Male,3686,65.9,Survey3,Good
Manitoba,Male,324,62.8,Survey3,Good
Saskatchewan,Male,286,64.2,Survey3,Good
Alberta,Male,1100,64.8,Survey3,Good
British Columbia,Male,1330,67.8,Survey3,Good
Yukon,Male,10,68.4,Survey3,Good
Northwest Territories,Male,11,63.2,Survey3,Good
Nunavut,Male,8,64.6,Survey3,Good
Newfoundland and Labrador,Female,165,75,Survey3,Good
Prince Edward Island,Female,47,75,Survey3,Good
Nova Scotia,Female,299,72.6,Survey3,Good
New Brunswick,Female,242,74.7,Survey3,Good
Quebec,Female,2241,65.4,Survey3,Good
Ontario,Female,3769,64.7,Survey3,Good
Manitoba,Female,350,66.9,Survey3,Good
Saskatchewan,Female,316,71.3,Survey3,Good
Alberta,Female,1110,68.1,Survey3,Good
British Columbia,Female,1322,65.4,Survey3,Good
Yukon,Female,9,62.8,Survey3,Good
Northwest Territories,Female,11,66.6,Survey3,Good
Nunavut,Female,7,58.6,Survey3,Good
Newfoundland and Labrador,Male,125,59.7,Survey4,Good
Prince Edward Island,Male,35,59.9,Survey4,Good
Nova Scotia,Male,202,52.7,Survey4,Good
New Brunswick,Male,178,57.8,Survey4,Good
Quebec,Male,1976,58.7,Survey4,Good
Ontario,Male,2974,53.2,Survey4,Good
Manitoba,Male,255,49.4,Survey4,Good
Saskatchewan,Male,233,52.4,Survey4,Good
Alberta,Male,948,55.8,Survey4,Good
British Columbia,Male,1012,51.6,Survey4,Good
Yukon,Male,7,46.6,Survey4,Good
Northwest Territories,Male,7,41.7,Survey4,Good
Nunavut,Male,5,41.5,Survey4,Good
Newfoundland and Labrador,Female,138,62.8,Survey4,Good
Prince Edward Island,Female,40,62.9,Survey4,Good
Nova Scotia,Female,244,59.1,Survey4,Good
New Brunswick,Female,199,61.6,Survey4,Good
Quebec,Female,2027,59.1,Survey4,Good
Ontario,Female,3185,54.7,Survey4,Good
Manitoba,Female,285,54.6,Survey4,Good
Saskatchewan,Female,235,52.8,Survey4,Good
Alberta,Female,948,58.2,Survey4,Good
British Columbia,Female,1088,53.8,Survey4,Good
Yukon,Female,6,38.9,Survey4,Good
Northwest Territories,Female,7,42.8,Survey4,Good
Nunavut,Female,5,40.1,Survey4,Good
Newfoundland and Labrador,Male,139,66.6,Survey5,Good
Prince Edward Island,Male,41,70,Survey5,Good
Nova Scotia,Male,250,65.2,Survey5,Good
New Brunswick,Male,215,69.7,Survey5,Good
Quebec,Male,2451,72.8,Survey5,Good
Ontario,Male,3753,67.1,Survey5,Good
Manitoba,Male,313,60.7,Survey5,Good
Saskatchewan,Male,260,58.4,Survey5,Good
Alberta,Male,1081,63.7,Survey5,Good
British Columbia,Male,1225,62.5,Survey5,Good
Yukon,Male,10,64,Survey5,Good
Northwest Territories,Male,10,57.7,Survey5,Good
Nunavut,Male,8,59.4,Survey5,Good
Newfoundland and Labrador,Female,142,64.4,Survey5,Good
Prince Edward Island,Female,44,70.6,Survey5,Good
Nova Scotia,Female,276,66.9,Survey5,Good
New Brunswick,Female,232,71.8,Survey5,Good
Quebec,Female,2504,73.1,Survey5,Good
Ontario,Female,3753,64.4,Survey5,Good
Manitoba,Female,317,60.8,Survey5,Good
Saskatchewan,Female,274,61.7,Survey5,Good
Alberta,Female,1054,64.7,Survey5,Good
British Columbia,Female,1281,63.4,Survey5,Good
Yukon,Female,8,54.8,Survey5,Good
Northwest Territories,Female,9,56.3,Survey5,Good
Nunavut,Female,7,55.4,Survey5,Good
Newfoundland and Labrador,Male,138,66.1,Survey6,Good
Prince Edward Island,Male,43,73.6,Survey6,Good
Nova Scotia,Male,241,62.8,Survey6,Good
New Brunswick,Male,211,68.4,Survey6,Good
Quebec,Male,2305,68.4,Survey6,Good
Ontario,Male,3395,60.7,Survey6,Good
Manitoba,Male,307,59.4,Survey6,Good
Saskatchewan,Male,266,59.8,Survey6,Good
Alberta,Male,1002,59,Survey6,Good
British Columbia,Male,1153,58.8,Survey6,Good
Yukon,Male,8,54.4,Survey6,Good
Northwest Territories,Male,10,55.3,Survey6,Good
Nunavut,Male,7,54,Survey6,Good
Newfoundland and Labrador,Female,146,66.3,Survey6,Good
Prince Edward Island,Female,45,71.6,Survey6,Good
Nova Scotia,Female,260,63,Survey6,Good
New Brunswick,Female,223,69,Survey6,Good
Quebec,Female,2339,68.3,Survey6,Good
Ontario,Female,3352,57.5,Survey6,Good
Manitoba,Female,295,56.5,Survey6,Good
Saskatchewan,Female,262,59.1,Survey6,Good
Alberta,Female,1029,63.2,Survey6,Good
British Columbia,Female,1204,59.6,Survey6,Good
Yukon,Female,7,45.5,Survey6,Good
Northwest Territories,Female,8,51.6,Survey6,Good
Nunavut,Female,6,51.1,Survey6,Good
Newfoundland and Labrador,Male,95,45.5,Survey1,Average
Prince Edward Island,Male,23,39.3,Survey1,Average
Nova Scotia,Male,165,42.9,Survey1,Average
New Brunswick,Male,116,37.8,Survey1,Average
Quebec,Male,994,29.5,Survey1,Average
Ontario,Male,1919,34.3,Survey1,Average
Manitoba,Male,222,43,Survey1,Average
Saskatchewan,Male,207,46.5,Survey1,Average
Alberta,Male,677,39.9,Survey1,Average
British Columbia,Male,794,40.5,Survey1,Average
Yukon,Male,7,44.8,Survey1,Average
Northwest Territories,Male,9,50.7,Survey1,Average
Nunavut,Male,7,56.4,Survey1,Average
Newfoundland and Labrador,Female,89,40.4,Survey1,Average
Prince Edward Island,Female,19,30.7,Survey1,Average
Nova Scotia,Female,164,39.7,Survey1,Average
New Brunswick,Female,95,29.5,Survey1,Average
Quebec,Female,919,26.8,Survey1,Average
Ontario,Female,1821,31.3,Survey1,Average
Manitoba,Female,228,43.6,Survey1,Average
Saskatchewan,Female,182,40.9,Survey1,Average
Alberta,Female,569,34.9,Survey1,Average
British Columbia,Female,709,35.1,Survey1,Average
Yukon,Female,7,46.1,Survey1,Average
Northwest Territories,Female,7,42.8,Survey1,Average
Nunavut,Female,6,45.4,Survey1,Average
Newfoundland and Labrador,Male,81,38.6,Survey2,Average
Prince Edward Island,Male,15,24.9,Survey2,Average
Nova Scotia,Male,124,32.3,Survey2,Average
New Brunswick,Male,104,33.7,Survey2,Average
Quebec,Male,784,23.3,Survey2,Average
Ontario,Male,1387,24.8,Survey2,Average
Manitoba,Male,198,38.4,Survey2,Average
Saskatchewan,Male,182,40.9,Survey2,Average
Alberta,Male,561,33.1,Survey2,Average
British Columbia,Male,630,32.1,Survey2,Average
Yukon,Male,5,34.7,Survey2,Average
Northwest Territories,Male,9,52.5,Survey2,Average
Nunavut,Male,7,52.8,Survey2,Average
Newfoundland and Labrador,Female,72,32.9,Survey2,Average
Prince Edward Island,Female,15,24,Survey2,Average
Nova Scotia,Female,116,28.3,Survey2,Average
New Brunswick,Female,75,23.2,Survey2,Average
Quebec,Female,726,21.2,Survey2,Average
Ontario,Female,1293,22.2,Survey2,Average
Manitoba,Female,210,40.2,Survey2,Average
Saskatchewan,Female,161,36.3,Survey2,Average
Alberta,Female,456,28,Survey2,Average
British Columbia,Female,504,25,Survey2,Average
Yukon,Female,6,39.9,Survey2,Average
Northwest Territories,Female,7,45.5,Survey2,Average
Nunavut,Female,6,48.9,Survey2,Average
Newfoundland and Labrador,Male,43,20.5,Survey3,Average
Prince Edward Island,Male,10,17.7,Survey3,Average
Nova Scotia,Male,99,25.9,Survey3,Average
New Brunswick,Male,81,26.3,Survey3,Average
Quebec,Male,971,28.8,Survey3,Average
Ontario,Male,1443,25.8,Survey3,Average
Manitoba,Male,150,29.2,Survey3,Average
Saskatchewan,Male,135,30.4,Survey3,Average
Alberta,Male,509,30,Survey3,Average
British Columbia,Male,490,25,Survey3,Average
Yukon,Male,4,26,Survey3,Average
Northwest Territories,Male,5,30.6,Survey3,Average
Nunavut,Male,4,34.2,Survey3,Average
Newfoundland and Labrador,Female,39,17.8,Survey3,Average
Prince Edward Island,Female,12,18.5,Survey3,Average
Nova Scotia,Female,92,22.3,Survey3,Average
