"Table 109-5355 Estimates of population (2011 Census and administrative data), by age group and sex for July 1st, Canada, provinces, territories, health regions (2015 boundaries) and peer groups, annual (number)(1,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Population by Age and Sex for Canada, Provinces and Territories - 3604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography (5,6,7)",Age group,Sex,2010,2011,2012,2013,2014,2015,,"Geography (5,6,7)",Canada [0] ,Canada [0] ,Canada [0] ,Newfoundland and Labrador [10] ,Newfoundland and Labrador [10] ,Newfoundland and Labrador [10] ,Prince Edward Island [11] ,Prince Edward Island [11] ,Prince Edward Island [11] ,Nova Scotia [12] ,Nova Scotia [12] ,Nova Scotia [12] ,New Brunswick [13] ,New Brunswick [13] ,New Brunswick [13] ,Quebec [24] ,Quebec [24] ,Quebec [24] ,Ontario by Local Health Integration Network [35]  (8),Ontario by Local Health Integration Network [35]  (8),Ontario by Local Health Integration Network [35]  (8),Ontario by Health Unit [35]  (8),Ontario by Health Unit [35]  (8),Ontario by Health Unit [35]  (8),Manitoba [46] ,Manitoba [46] ,Manitoba [46] ,Saskatchewan [47] ,Saskatchewan [47] ,Saskatchewan [47] ,Alberta [48] ,Alberta [48] ,Alberta [48] ,British Columbia [59] ,British Columbia [59] ,British Columbia [59] ,Yukon [60] ,Yukon [60] ,Yukon [60] ,Northwest Territories [61] ,Northwest Territories [61] ,Northwest Territories [61] ,Nunavut [62] ,Nunavut [62] ,Nunavut [62] 
Canada [0] ,"Total, all ages",Both sexes,34005274,34342780,34751476,35155499,35543658,35851774,,Age group,"Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages","Total, all ages"
Canada [0] ,"Total, all ages",Males,16847961,17015959,17225198,17430739,17626354,17776719,,Sex,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females
Canada [0] ,"Total, all ages",Females,17157313,17326821,17526278,17724760,17917304,18075055,,2010,34005274,16847961,17157313,521972,257449,264523,141678,69204,72474,942073,461366,480707,753044,371833,381211,7929365,3931804,3997561,13135063,6452783,6682280,13135063,6452783,6682280,1220930,605597,615333,1051425,525716,525709,3732573,1895322,1837251,4465924,2219698,2246226,34596,17680,16916,43278,22249,21029,33353,17260,16093
Newfoundland and Labrador [10] ,"Total, all ages",Both sexes,521972,525037,526895,528017,529069,527756,,2011,34342780,17015959,17326821,525037,259070,265967,144038,70319,73719,944469,463457,481012,755530,373667,381863,8007656,3973044,4034612,13263544,6513580,6749964,13263544,6513580,6749964,1233728,611948,621780,1066349,534856,531493,3790191,1921123,1869068,4499139,2236756,2262383,35402,18095,17307,43501,22337,21164,34196,17707,16489
Newfoundland and Labrador [10] ,"Total, all ages",Males,257449,259070,259885,260340,260922,260141,,2012,34751476,17225198,17526278,526895,259885,267010,145259,70873,74386,944835,463616,481219,756836,374408,382428,8084768,4013825,4070943,13409558,6586653,6822905,13409558,6586653,6822905,1250406,620685,629721,1087223,546589,540634,3888552,1972434,1916118,4542578,2257406,2285172,36189,18480,17709,43648,22372,21276,34729,17972,16757
Newfoundland and Labrador [10] ,"Total, all ages",Females,264523,265967,267010,267677,268147,267615,,2013,35155499,17430739,17724760,528017,260340,267677,145441,70794,74647,942991,462446,480545,755718,373587,382131,8154761,4050085,4104676,13551004,6655826,6895178,13551004,6655826,6895178,1265342,628587,636755,1106122,557064,549058,4007748,2036296,1971452,4582607,2276341,2306266,36429,18584,17845,43884,22447,21437,35435,18342,17093
Prince Edward Island [11] ,"Total, all ages",Both sexes,141678,144038,145259,145441,146162,146447,,2014,35543658,17626354,17917304,529069,260922,268147,146162,71250,74912,942387,461872,480515,754578,372960,381618,8214885,4080910,4133975,13677687,6717164,6960523,13677687,6717164,6960523,1280242,636233,644009,1122283,566040,556243,4120897,2095874,2025023,4638415,2303157,2335258,36990,18838,18152,43980,22469,21511,36083,18665,17418
Prince Edward Island [11] ,"Total, all ages",Males,69204,70319,70873,70794,71250,71333,,2015,35851774,17776719,18075055,527756,260141,267615,146447,71333,75114,943002,461969,481033,753871,372394,381477,8263600,4105520,4158080,13792052,6773616,7018436,13792052,6773616,7018436,1293378,642866,650512,1133637,571807,561830,4196457,2132266,2064191,4683139,2324277,2358862,37428,18985,18443,44088,22499,21589,36919,19046,17873
Prince Edward Island [11] ,"Total, all ages",Females,72474,73719,74386,74647,74912,75114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia [12] ,"Total, all ages",Both sexes,942073,944469,944835,942991,942387,943002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia [12] ,"Total, all ages",Males,461366,463457,463616,462446,461872,461969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia [12] ,"Total, all ages",Females,480707,481012,481219,480545,480515,481033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick [13] ,"Total, all ages",Both sexes,753044,755530,756836,755718,754578,753871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick [13] ,"Total, all ages",Males,371833,373667,374408,373587,372960,372394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick [13] ,"Total, all ages",Females,381211,381863,382428,382131,381618,381477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec [24] ,"Total, all ages",Both sexes,7929365,8007656,8084768,8154761,8214885,8263600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec [24] ,"Total, all ages",Males,3931804,3973044,4013825,4050085,4080910,4105520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec [24] ,"Total, all ages",Females,3997561,4034612,4070943,4104676,4133975,4158080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario by Local Health Integration Network [35]  (8),"Total, all ages",Both sexes,13135063,13263544,13409558,13551004,13677687,13792052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario by Local Health Integration Network [35]  (8),"Total, all ages",Males,6452783,6513580,6586653,6655826,6717164,6773616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario by Local Health Integration Network [35]  (8),"Total, all ages",Females,6682280,6749964,6822905,6895178,6960523,7018436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario by Health Unit [35]  (8),"Total, all ages",Both sexes,13135063,13263544,13409558,13551004,13677687,13792052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
