"Table 111-0006 Neighbourhood income and demographics, taxfilers and dependents, by sex and single years of age, annual (number)(1,2,3,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Income Estimates for Census Families and Individuals (T1 Family File) - 4105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography (9),Sex,Age group (3),2010,2011,2012,2013,2014,,Geography (9),Canada,Canada,Canada,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,Yukon,Yukon,Yukon,Northwest Territories,Northwest Territories,Northwest Territories,Nunavut,Nunavut,Nunavut,"Campbellton, combined NewBrunswick/Quebec [98330]  (8)","Campbellton, combined NewBrunswick/Quebec [98330]  (8)","Campbellton, combined NewBrunswick/Quebec [98330]  (8)","Hawkesbury, combined Ontario/Quebec [98502]  (8)","Hawkesbury, combined Ontario/Quebec [98502]  (8)","Hawkesbury, combined Ontario/Quebec [98502]  (8)","Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)","Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)","Ottawa - Gatineau, combined Ontario/Quebec [98505]  (8)","Lloydminster, combined Alberta/Saskatchewan [98840]  (8)","Lloydminster, combined Alberta/Saskatchewan [98840]  (8)","Lloydminster, combined Alberta/Saskatchewan [98840]  (8)"
Canada,Both sexes,Total all ages (3),32700430,33087940,33399630,33784140,34164940,,Sex,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females,Both sexes,Males,Females
Canada,Males,Total all ages (3),15915100,16117200,16275110,16475000,16671910,,Age group (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3),Total all ages (3)
Canada,Females,Total all ages (3),16785330,16970740,17124520,17309140,17493040,,2010,32700430,15915100,16785330,510200,249230,260970,138610,66880,71730,900240,433370,466870,737220,358730,378490,7717710,3763670,3954040,12593440,6094540,6498910,1187700,580200,607500,1022160,501220,520940,3544590,1755420,1789170,4243560,2059040,2184530,32210,16080,16130,41080,20800,20280,31710,15950,15760,17570,8420,9150,12310,5860,6460,1175520,566710,608800,33630,16950,16680
Newfoundland and Labrador,Both sexes,Total all ages (3),510200,512900,513500,515080,517560,,2011,33087940,16117200,16970740,512900,250770,262140,139420,67330,72090,902250,434600,467660,738640,359550,379100,7792820,3804230,3988590,12707860,6148440,6559420,1203690,589010,614670,1042260,512830,529440,3644620,1808700,1835920,4296660,2088020,2208640,33240,16610,16630,41220,20900,20330,32360,16230,16130,17650,8470,9180,12260,5840,6430,1189930,573520,616410,35000,17720,17290
Newfoundland and Labrador,Males,Total all ages (3),249230,250770,251070,251950,253410,,2012,33399630,16275110,17124520,513500,251070,262430,139020,67060,71960,898330,432560,465770,736420,358040,378380,7848370,3833780,4014590,12796300,6190660,6605630,1215110,594860,620250,1058700,521170,537530,3765200,1872750,1892450,4321100,2099160,2221940,33420,16680,16740,41130,20790,20340,33030,16520,16510,17670,8470,9190,12320,5870,6460,1201350,579190,622170,36590,18570,18030
Newfoundland and Labrador,Females,Total all ages (3),260970,262140,262430,263130,264150,,2013,33784140,16475000,17309140,515080,251950,263130,138920,66980,71940,898170,432430,465750,734470,357100,377370,7904880,3864260,4040620,12912940,6249350,6663600,1227940,601690,626240,1073430,529170,544260,3891740,1939070,1952670,4377850,2128480,2249380,33680,16760,16920,41350,20880,20470,33690,16890,16800,17640,8480,9160,12240,5850,6390,1213160,585060,628100,38080,19340,18740
Prince Edward Island,Both sexes,Total all ages (3),138610,139420,139020,138920,139810,,2014,34164940,16671910,17493040,517560,253410,264150,139810,67380,72420,898890,432930,465960,736080,358190,377890,7960870,3894630,4066240,13040270,6315200,6725080,1240970,608650,632320,1086200,535550,550650,3991300,1989840,2001460,4442710,2160820,2281900,34140,16990,17160,41730,21060,20680,34410,17270,17140,17640,8510,9130,12140,5770,6360,1227590,592280,635310,38860,19690,19160
Prince Edward Island,Males,Total all ages (3),66880,67330,67060,66980,67380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Females,Total all ages (3),71730,72090,71960,71940,72420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Both sexes,Total all ages (3),900240,902250,898330,898170,898890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Males,Total all ages (3),433370,434600,432560,432430,432930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,Females,Total all ages (3),466870,467660,465770,465750,465960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,Both sexes,Total all ages (3),737220,738640,736420,734470,736080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
