Names,GN1B,GP1B,AN1B,AP1B,DKN1B,DKP1B,GN1M,GP1M,AN1M,AP1M,DKN1M,DKP1M,GN1F,GP1F,AN1F,AP1F,DKN1F,DKP1F,DIFFN1,DIFFP1,GN2B,GP2B,AN2B,AP2B,DKN2B,DKP2B,GN2M,GP2M,AN2M,AP2M,DKN2M,DKP2M,GN2F,GP2F,AN2F,AP2F,DKN2F,DKP2F,DIFFN2,DIFFP2,GN3B,GP3B,AN3B,AP3B,DKN3B,DKP3B,GN3M,GP3M,AN3M,AP3M,DKN3M,DKP3M,GN3F,GP3F,AN3F,AP3F,DKN3F,DKP3F,DIFFN3,DIFFP3,GN4B,GP4B,AN4B,AP4B,DKNB,DKP4B,GN4M,GP4M,AN4M,AP4M,DKN4M,DKP4M,GN4F,GP4F,AN4F,AP4F,DKN4F,DKP4F,DIFFN4,DIFFP4,GN5B,GP5B,AN5B,AP5B,DKN5B,DKP5B,GN5M,GP5M,AN5M,AP5M,DKN5M,DKP5M,GN5F,GP5F,AN5F,AP5F,DKN5F,DKP5F,DIFFN5,DIFFP5,GN6B,GP6B,AN6B,AP6B,DKN6B,DKP6B,GN6M,GP6M,AN6M,AP6M,DKN6M,DKP16M,GN6F,GP6F,AN6F,AP6F,DKN6F,DKP6F,DIFFN6,DIFFP6
Canada,18240,61.8,10049,34,1227,4.2,8853,60.7,5235,35.9,499,3.4,9387,62.9,4814,32.2,728,4.9,534,2.2,16653,56.4,7735,26.2,5129,17.4,8129,55.7,4087,28,2371,16.3,8524,57.1,3648,24.4,2758,18.5,395,1.4,19440,65.9,7353,24.9,2723,9.2,9553,65.5,3945,27,1088,7.5,9887,66.2,3408,22.8,1635,10.9,334,0.7,16364,55.4,10153,34.4,2999,10.2,7958,54.6,5188,35.6,1441,9.9,8406,56.3,4965,33.3,1558,10.4,448,1.7,19658,66.6,8355,28.3,1504,5.1,9756,66.9,4196,28.8,635,4.4,9902,66.3,4159,27.9,869,5.8,146,0.6,18264,61.9,8557,29,2695,9.1,9086,62.3,4408,30.2,1093,7.5,9178,61.5,4149,27.8,1603,10.7,92,0.8
Newfoundland and Labrador,239,55.6,184,42.9,6,1.5,112,53.6,95,45.5,,,127,57.6,89,40.4,4,2,15,4,222,51.7,153,35.7,54,12.6,105,50.2,81,38.6,23,11.2,117,53.2,72,32.9,31,14,12,3,319,74.4,82,19.1,28,6.5,154,73.7,43,20.5,12,5.8,165,75,39,17.8,16,7.2,11,1.3,263,61.3,142,33,25,5.7,125,59.7,75,36.1,9,4.3,138,62.8,66,30.1,16,7.1,13,3.1,281,65.5,137,32,11,2.5,139,66.6,66,31.7,4,1.7,142,64.4,71,32.3,7,3.3,3,2.2,284,66.2,122,28.4,23,5.3,138,66.1,62,29.8,9,4.1,146,66.3,60,27.1,14,6.5,8,0.2
Prince Edward Island,77,63.5,43,34.9,2,1.6,36,60.2,23,39.3,,,42,66.7,19,30.7,2,2.6,6,6.5,80,65.9,30,24.4,12,9.6,39,66.5,15,24.9,5,8.6,41,65.4,15,24,7,10.6,2,1.1,92,75.7,22,18.1,8,6.2,45,76.5,10,17.7,3,5.9,47,75,12,18.5,4,6.5,2,1.5,75,61.4,40,32.6,7,6,35,59.9,20,34.4,,,40,62.9,19,30.9,4,6.3,5,3,86,70.3,33,27.2,3,2.5,41,70,16,27.9,,,44,70.6,17,26.6,2,2.8,3,0.6,89,72.6,28,23.1,5,4.4,43,73.6,14,23.4,,,45,71.6,14,22.8,4,5.6,2,2
Nova Scotia,455,57.2,328,41.3,12,1.5,214,55.7,165,42.9,5,1.4,242,58.6,164,39.7,7,1.7,28,2.9,453,56.9,240,30.2,103,12.9,210,54.6,124,32.3,50,13.1,243,59,116,28.3,52,12.7,33,4.4,568,71.3,191,24,37,4.7,269,70,99,25.9,16,4.1,299,72.6,92,22.3,21,5.2,30,2.6,446,56,303,38.1,47,5.9,202,52.7,159,41.3,23,6,244,59.1,145,35.1,24,5.8,42,6.4,526,66.1,250,31.3,21,2.6,250,65.2,124,32.4,9,2.5,276,66.9,125,30.4,11,2.7,26,1.7,501,62.9,248,31.1,47,6,241,62.8,120,31.3,23,5.9,260,63,128,31,25,6,19,0.2
New Brunswick,408,64.6,212,33.5,12,1.9,189,61.2,116,37.8,,,219,67.8,95,29.5,9,2.7,30,6.6,376,59.5,179,28.3,77,12.2,171,55.4,104,33.7,34,10.9,205,63.3,75,23.2,44,13.5,34,7.9,452,71.6,140,22.1,39,6.2,211,68.4,81,26.3,16,5.3,242,74.7,59,18.2,23,7.1,31,6.3,377,59.7,221,35,33,5.3,178,57.8,115,37.3,15,4.9,199,61.6,106,32.8,18,5.6,21,3.8,447,70.8,170,26.8,15,2.4,215,69.7,86,27.9,7,2.4,232,71.8,84,25.8,8,2.4,17,2.1,434,68.7,167,26.4,31,4.9,211,68.4,87,28.4,10,3.2,223,69,79,24.5,21,6.5,12,0.6
Quebec,4638,68.2,1913,28.1,245,3.6,2279,67.7,994,29.5,96,2.8,2359,68.8,919,26.8,149,4.4,80,1.1,4427,65.1,1510,22.2,859,12.6,2197,65.2,784,23.3,386,11.5,2229,65.1,726,21.2,472,13.8,32,0.1,4361,64.2,1756,25.8,677,10,2121,63,971,28.8,276,8.2,2241,65.4,786,22.9,401,11.7,120,2.4,4004,58.9,2086,30.7,706,10.4,1976,58.7,1073,31.9,318,9.5,2027,59.1,1013,29.5,387,11.3,51,0.4,4955,72.9,1544,22.7,296,4.4,2451,72.8,795,23.6,122,3.6,2504,73.1,749,21.9,174,5.1,53,0.3,4644,68.3,1575,23.2,576,8.5,2305,68.4,842,25,221,6.6,2339,68.3,733,21.4,355,10.4,34,0.1
Ontario,7066,61.9,3741,32.8,611,5.4,3433,61.4,1919,34.3,241,4.3,3633,62.4,1821,31.3,370,6.4,200,1,6178,54.1,2680,23.5,2560,22.4,3042,54.4,1387,24.8,1164,20.8,3136,53.8,1293,22.2,1396,24,94,0.6,7454,65.3,2765,24.2,1198,10.5,3686,65.9,1443,25.8,465,8.3,3769,64.7,1323,22.7,733,12.6,83,1.2,6159,53.9,3888,34.1,1371,12,2974,53.2,1937,34.6,683,12.2,3185,54.7,1952,33.5,688,11.8,211,1.5,7506,65.7,3217,28.2,694,6.1,3753,67.1,1578,28.2,262,4.7,3753,64.4,1639,28.1,432,7.4,0,2.7,6747,59.1,3378,29.6,1292,11.3,3395,60.7,1668,29.8,530,9.5,3352,57.5,1710,29.4,763,13.1,43,3.2
Manitoba,547,52.7,450,43.3,42,4,273,52.9,222,43,21,4.1,274,52.4,228,43.6,21,3.9,1,0.5,481,46.3,409,39.3,149,14.3,242,46.8,198,38.4,76,14.7,239,45.8,210,40.2,73,13.9,3,1,673,64.8,279,26.8,86,8.3,324,62.8,150,29.2,42,8.1,350,66.9,128,24.6,45,8.5,26,4.1,540,52,403,38.8,96,9.2,255,49.4,198,38.3,64,12.3,285,54.6,205,39.3,32,6.1,30,5.2,630,60.7,361,34.7,47,4.6,313,60.7,180,35,23,4.4,317,60.8,180,34.5,25,4.7,4,0.1,602,58,350,33.7,86,8.3,307,59.4,171,33.2,38,7.3,295,56.5,179,34.2,48,9.2,12,2.9
Saskatchewan,480,54,388,43.7,2,2.3,227,50.9,207,46.5,11,2.6,253,57.1,182,40.9,9,2,26,6.2,424,47.8,343,38.6,121,13.6,201,45.1,182,40.9,62,14,224,50.4,161,36.3,59,13.2,23,5.3,602,67.7,232,26.1,55,6.2,286,64.2,135,30.4,24,5.4,316,71.3,97,21.8,31,7,30,7.1,468,52.6,345,38.8,76,8.6,233,52.4,176,39.6,36,8,235,52.8,169,38.1,40,9.1,2,0.4,534,60,319,35.9,36,4,260,58.4,166,37.3,19,4.3,274,61.7,153,34.5,17,3.7,14,3.3,528,59.4,316,35.5,45,5.1,266,59.8,162,36.3,17,3.9,262,59.1,154,34.6,28,6.3,4,0.7
Alberta,1971,59.3,1246,37.5,110,3.3,970,57.1,677,39.9,51,3,1002,61.5,569,34.9,59,3.6,32,4.4,1826,54.9,1017,30.6,484,14.5,908,53.5,561,33.1,229,13.5,918,56.4,456,28,255,15.7,10,2.9,2209,66.4,888,26.7,230,6.9,1100,64.8,509,30,90,5.3,1110,68.1,379,23.3,140,8.6,10,3.3,1896,57,1194,35.9,237,7.1,948,55.8,638,37.6,112,6.6,948,58.2,556,34.1,125,7.7,0,2.4,2135,64.2,1054,31.7,138,4.1,1081,63.7,549,32.4,67,4,1054,64.7,505,31,71,4.3,27,1,2031,61,1067,32.1,229,6.9,1002,59,592,34.9,104,6.1,1029,63.2,475,29.2,125,7.7,27,4.2
