Names,mpop,fpop,memp,femp,wemp,bemp,aemp,hlemp,oemp,mmurder,mman,mforcerape,mrob,magassualt,mburglary,mlartheft,mmotortheft,marson,motherassualts,mforge,mfraud,membezzle,mstolenproperty,mvandalism,mweaponcarry,mprositute,msexoffense,mdrugabuse,msalemanufacture,mpossession,mgambling,mfamilyoffense,mDUI,mliquiorlaws,mdurnk,mdisorderconduct,mvangrancy,malloffense,msuspicion,mcurfewloiter,mrunaway,mviolentcrime,mpropertycrimeindex,fmurder,fman,fforcerape,frob,fagassualt,fburglary,flartheft,fmotortheft,farson,fotherassualts,fforge,ffraud,fembezzle,fstolenproperty,fvandalism,fweaponcarry,fprositute,fsexoffense,fdrugabuse,fsalemanufacture,fpossession,fgambling,ffamilyoffense,fDUI,fliquiorlaws,fdurnk,fdisorderconduct,fvangrancy,falloffense,fsuspicion,fbreakcurfew,frunaway,fviolentcrime,fpropertycrimeindex
Menlo Park,"15,488","16,538",52,24,47,4,6,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco ,"408,462","396,773",1793,321,1093,190,472,331,28,2,na,0,112,541,254,563,67,6,548,30,28,6,65,97,10,224,10,575,325,250,0,-19,230,28,694,42,42,2426,-19,-19,1,655,890,73,na,58,1030,3341,1311,1624,391,61,2839,139,150,9,477,780,233,504,242,3827,1948,1891,6,-21,1777,177,4573,180,285,18426,-21,-21,0,4502,3387
Northampton,"12,312","16,237",56,8,62,0,1,1,0,3,2,1,13,71,67,225,14,3,193,5,6,na,33,46,7,na,32,287,42,245,na,7,145,221,418,23,na,746,na,10,na,88,309,2,na,0,0,16,12,120,18,1,73,5,2,na,3,7,1,na,2,65,9,56,na,14,61,97,52,12,na,223,na,9,na,18,151
Baltimore,"292,249","328,712",2072,383,1217,996,29,189,24,73,na,105,733,841,"1,309","1,092",560,57,"5,156",91,23,na,na,417,961,154,118,"15,119","4,423","10,696",130,56,86,46,na,967,64,"12,718",na,153,na,"1,752","3,018",6,na,0,114,289,230,447,85,18,"1,974",33,29,na,na,158,110,598,19,"2,292",479,"1,813",5,36,18,13,na,400,3,"2,783",na,20,na,409,780
Louisville,"289,236","308,101",1143,411,1263,235,24,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomington,40161,43162,100,55,141,9,4,1,0,3,2,1,13,71,67,225,14,3,193,5,6,na,33,46,7,na,32,287,42,245,na,7,145,221,418,23,na,746,na,10,na,88,309,2,0,0,0,16,12,120,18,1,73,5,2,na,3,7,1,na,2,65,9,56,na,14,61,97,52,12,na,223,na,9,na,18,151
Detroit,"337,679","376,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,"719,813","806,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago,"1,308,072","1,387,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,"1,889,064","1,903,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis,"307,019","339,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,,,,,,830 on Friday Rutger Graduate School Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
