Names,mpop,fpop,memp,femp,mmurder,mman,mforcerape,mrob,magassualt,mburglary,mlartheft,mmotortheft,marson,motherassualts,mforge,mfraud,membezzle,mstolenproperty,mvandalism,mweaponcarry,mprositute,msexoffense,mdrugabuse,msalemanufacture,mpossession,mgambling,mfamilyoffense,mDUI,mliquiorlaws,mdurnk,mdisorderconduct,mvangrancy,malloffense,mcurfewloiter,mviolentcrime,mpropertycrimeindex,fmurder,fman,fforcerape,frob,fagassualt,fburglary,flartheft,fmotortheft,farson,fotherassualts,fforge,ffraud,fembezzle,fstolenproperty,fvandalism,fweaponcarry,fprositute,fsexoffense,fdrugabuse,fsalemanufacture,fpossession,fgambling,ffamilyoffense,fDUI,fliquiorlaws,fdurnk,fdisorderconduct,fvangrancy,falloffense,fbreakcurfew,fviolentcrime,fpropertycrimeindex,MeanAcross,MeanDown,Names2,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M1.8,M1.9,M1.10,M1.11,M1.12,M1.13,M1.14,M1.15,M1.16,M1.17,M1.18,M1.19,M1.20,M1.21,M1.22,M1.23,M1.24,M1.25,M1.26,M1.27,M1.28,M1.29,M1.30,M1.31,M1.32,M1.33,M1.34,M1.35,M1.36,M1.37,M1.38,M1.39,M1.40,M1.41,M1.42,M1.43,M1.44,M1.45,M1.46,M1.47,M1.48,M1.49,M1.50,M1.51,M1.52,M1.53,M1.54,M1.55,M1.56,M1.57,M1.58,M1.59,M1.60,M1.61,M1.62,M1.63,M1.64,M1.65,M1.66,M1.67,M1.68,Names3,M2.1,M2.2,M2.3,M2.4,M2.5,M2.6,M2.7,M2.8,M2.9,M2.10,M2.11,M2.12,M2.13,M2.14,M2.15,M2.16,M2.17,M2.18,M2.19,M2.20,M2.21,M2.22,M2.23,M2.24,M2.25,M2.26,M2.27,M2.28,M2.29,M2.30,M2.31,M2.32,M2.33,M2.34,M2.35,M2.36,M2.37,M2.38,M2.39,M2.40,M2.41,M2.42,M2.43,M2.44,M2.45,M2.46,M2.47,M2.48,M2.49,M2.50,M2.51,M2.52,M2.53,M2.54,M2.55,M2.56,M2.57,M2.58,M2.59,M2.60,M2.61,M2.62,M2.63,M2.64,M2.65,M2.66,M2.67,M2.68
San Francisco ,408462,396773,1793,321,24,2,19,338,1107,432,536,130,20,943,46,50,3,156,258,77,168,80,1275,649,630,2,-1,392,59,1524,60,95,6103,-1,1488,1118,1,1,0,63,277,136,298,35,3,281,15,14,3,33,49,5,113,5,289,163,126,0,-1,115,15,347,21,21,1303,-1,341,472,12201.08824,817182.0714,San Francisco ,3347.750562,3251.947632,14.69541049,2.630912865,0.196703766,0.01639198,0.155723814,2.770244699,9.072961187,3.54066778,4.393050765,1.06547873,0.163919805,7.728818789,0.377015551,0.409799512,0.024587971,1.278574476,2.11456548,0.631091248,1.376926359,0.655679219,10.44988755,5.319197661,5.163473846,0.01639198,-0.00819599,3.212828171,0.483563424,12.49068911,0.491759414,0.778619072,50.02012839,-0.00819599,12.19563347,9.16311708,0.00819599,0.00819599,0,0.516347385,2.270289294,1.114654672,2.442405089,0.286859658,0.024587971,2.303073255,0.122939853,0.114743863,0.024587971,0.270467678,0.401603521,0.040979951,0.926146896,0.040979951,2.368641177,1.335946408,1.032694769,0,-0.00819599,0.942538877,0.122939853,2.844008611,0.172115795,0.172115795,10.67937527,-0.00819599,2.794832669,3.86850739,San Francisco ,49.98420967,48.55380629,0.20666614,0.036999348,0.467536805,0.171044594,16.57320872,5701.204819,620.1680672,26.14107884,19.3222783,10.35208464,0.534851292,151.0008006,141.8502203,0.930999628,0.465683557,9.906559013,624.9134948,24.00356268,14.56076271,4.930662558,216.4948454,96.09730301,4.193669556,0.058164897,-0.010748891,68.94472362,168.2281059,65.64923077,0.550141465,5.832821682,122.1018635,-0.252479711,4.736192358,106.2376977,0.021187082,0.017692405,0,4900,29830.76923,66.92442882,35.2424396,22.94007491,0.144548458,284.6599132,176.4705882,0.834681884,2.576687117,9.303262183,136.1111111,10.1010101,53.80952381,3.197807218,22.55546884,491.8103448,5.464345456,0,-0.063034669,204.5743329,46.875,67.9155599,1.589361012,7.435508346,113.6573209,-0.411522634,7.152488539,153.7817082
Northampton,12312,16237,56,8,-1,-1,-1,5,27,7,44,0,-1,91,0,0,-1,3,9,1,-1,3,39,8,31,-1,-1,85,21,168,35,-1,264,-1,32,51,-1,-1,-1,0,11,1,14,1,-1,39,2,1,-1,1,4,0,-1,1,4,1,3,-1,-1,14,11,47,17,-1,74,-1,11,16,438.0882353,867582.8571,Northampton,2810.392749,3706.330984,12.78281302,1.826116146,-0.228264518,-0.228264518,-0.228264518,1.141322591,6.163141994,1.597851628,10.0436388,0,-0.228264518,20.77207116,0,0,-0.228264518,0.684793555,2.054380665,0.228264518,-0.228264518,0.684793555,8.902316213,1.826116146,7.076200067,-0.228264518,-0.228264518,19.40248406,4.793554884,38.34843907,7.98925814,-0.228264518,60.26183283,-0.228264518,7.304464585,11.64149043,-0.228264518,-0.228264518,-0.228264518,0,2.510909701,0.228264518,3.195703256,0.228264518,-0.228264518,8.902316213,0.456529037,0.228264518,-0.228264518,0.228264518,0.913058073,0,-0.228264518,0.228264518,0.913058073,0.228264518,0.684793555,-0.228264518,-0.228264518,3.195703256,2.510909701,10.72843236,3.880496811,-0.228264518,16.89157435,-0.228264518,2.510909701,3.652232293,Northampton,1.506640984,1.986950102,0.006454715,0.000922102,-0.0194807,-0.085522297,-0.872274143,84.3373494,15.12605042,0.423582296,1.586157174,0,-0.026742565,14.57165733,0,0,-0.155227852,0.19051075,21.79930796,0.31173458,-0.086671207,0.184899846,6.62219527,1.184558435,0.206355169,-0.029082449,-0.010748891,14.94974874,59.87780041,7.236923077,0.320915855,-0.061398123,5.281810907,-0.252479711,0.101853599,4.84626349,-0.021187082,-0.017692405,-8.383233533,0,1184.615385,0.492091388,1.655685082,0.655430712,-0.048182819,39.50795948,23.52941176,0.059620135,-0.858895706,0.281917036,11.11111111,0,-0.476190476,0.639561444,0.31218642,3.017241379,0.130103463,-0.203903292,-0.063034669,24.9047014,34.375,9.198937509,1.286625581,-0.354071826,6.45482866,-0.411522634,0.230725437,5.21293926
Baltimore,292249,328712,2072,383,73,-1,105,733,841,1309,1092,560,57,5156,91,23,-1,-1,417,961,154,118,15119,4423,10696,130,56,86,46,-1,967,64,12718,153,1752,3018,6,-1,0,114,289,230,447,85,18,1974,33,29,-1,-1,158,110,598,19,2292,479,1813,5,36,18,13,-1,400,3,2783,20,409,780,10257.16176,867582.8571,Baltimore,2849.218982,3204.707185,20.20051987,3.733976404,0.711697852,-0.009749286,1.023674993,7.146226381,8.199149231,12.76181492,10.64621993,5.459599964,0.555709282,50.26731681,0.887184994,0.22423357,-0.009749286,-0.009749286,4.065452116,9.369063509,1.50138999,1.150415707,147.3994497,43.12109043,104.2783593,1.267407134,0.545959996,0.838438566,0.44846714,-0.009749286,9.427559223,0.623954282,123.9914149,1.491640704,17.08074846,29.42334409,0.058495714,-0.009749286,0,1.111418564,2.817543553,2.242335699,4.357930685,0.82868928,0.175487142,19.24508987,0.321726426,0.282729284,-0.009749286,-0.009749286,1.540387133,1.072421421,5.830072819,0.185236427,22.34536271,4.669907826,17.67545488,0.048746428,0.350974283,0.175487142,0.126740713,-0.009749286,3.89971426,0.029247857,27.13226196,0.194985713,3.987457831,7.604442807,Baltimore,35.76302151,40.22506263,0.238824452,0.044145639,1.422091114,-0.085522297,91.58878505,12363.85542,471.1484594,79.20988935,39.36553713,44.59359536,1.524326183,825.6204964,280.6167401,0.428259829,-0.155227852,-0.063503583,1010.034602,299.5769316,13.34736581,7.272727273,2567.204366,654.9127446,71.19918979,3.780718336,0.601937871,15.12562814,131.1608961,-0.043076923,8.86644661,3.92947987,254.4472391,38.62939585,5.57648455,286.7847689,0.127122492,-0.017692405,0,8866.666667,31123.07692,113.1810193,52.8636594,55.71161049,0.867290749,1999.710564,388.2352941,1.728983903,-0.858895706,-0.281917036,438.8888889,222.2222222,284.7619048,12.15166743,178.8828186,1445.258621,78.62585961,1.019516458,2.269248086,32.02033037,40.625,-0.195722075,30.27354309,1.062215478,242.7538941,8.230452675,8.578791238,254.1307889
Bloomington,40161,43162,100,55,3,2,1,13,71,67,225,14,3,193,5,6,-1,33,46,7,-1,32,287,42,245,-1,7,145,221,418,23,-1,746,10,88,309,2,0,0,0,16,12,120,18,1,73,5,2,-1,3,7,1,-1,2,65,9,56,-1,14,61,97,52,12,-1,223,9,18,151,1290.602941,5133.285714,Bloomington,3111.80137,3344.328346,7.74831645,4.261574048,0.232449494,0.154966329,0.077483165,1.007281139,5.50130468,5.191372022,17.43371201,1.084764303,0.232449494,14.95425075,0.387415823,0.464898987,-0.077483165,2.556944429,3.564225567,0.542382152,-0.077483165,2.479461264,22.23766821,3.254292909,18.9833753,-0.077483165,0.542382152,11.23505885,17.12377936,32.38796276,1.782112784,-0.077483165,57.80244072,0.774831645,6.818518476,23.94229783,0.154966329,0,0,0,1.239730632,0.929797974,9.29797974,1.394696961,0.077483165,5.656271009,0.387415823,0.154966329,-0.077483165,0.232449494,0.542382152,0.077483165,-0.077483165,0.154966329,5.036405693,0.697348481,4.339057212,-0.077483165,1.084764303,4.726473035,7.515866957,4.029124554,0.929797974,-0.077483165,17.27874568,0.697348481,1.394696961,11.69995784,Bloomington,4.914571844,5.281809466,0.011526277,0.006339452,0.058442101,0.171044594,0.872274143,219.2771084,39.77591036,4.05428769,8.111031002,1.114839884,0.080227694,30.90472378,15.4185022,0.111719955,-0.155227852,2.095618253,111.4186851,2.182142062,-0.086671207,1.972265023,48.73256519,6.218931782,1.630871494,-0.029082449,0.075242234,25.50251256,630.1425662,18.00615385,0.210887562,-0.061398123,14.92511718,2.524797115,0.280097398,29.36265526,0.042374164,0,0,0,1723.076923,5.905096661,14.19158642,11.79775281,0.048182819,73.95079595,58.82352941,0.119240269,-0.858895706,0.845751108,19.44444444,2.02020202,-0.476190476,1.279122887,5.073029323,27.15517241,2.42859798,-0.203903292,0.882485367,108.5133418,303.125,10.17754788,0.908206293,-0.354071826,19.4517134,3.703703704,0.377550715,49.19711427
Detroit,337679,376098,2241,829,29,-1,45,498,1176,855,427,498,34,1711,40,89,1,187,190,1384,3,53,2719,589,2127,2,12,627,2,3,510,27,2331,27,1748,1814,4,-1,0,52,560,66,81,72,4,398,13,46,5,21,58,68,3,0,193,47,146,0,5,188,0,1,289,6,326,9,616,223,10883.86765,1169.285714,Detroit,3102.564373,3455.5547,20.59010705,7.616777665,0.2664494,-0.00918791,0.413455965,4.575579345,10.80498255,7.855663333,3.923237712,4.575579345,0.312388951,15.72051458,0.367516413,0.817724019,0.00918791,1.718139232,1.745702963,12.7160679,0.027563731,0.486959248,24.98192819,5.411679185,19.54268527,0.018375821,0.110254924,5.760819778,0.018375821,0.027563731,4.685834269,0.248073579,21.41701898,0.248073579,16.06046726,16.66686934,0.036751641,-0.00918791,0,0.477771337,5.145229786,0.606402082,0.744220737,0.661529544,0.036751641,3.656788312,0.119442834,0.422643875,0.045939552,0.192946117,0.532898799,0.624777903,0.027563731,0,1.773266694,0.431831786,1.341434908,0,0.045939552,1.727327142,0,0.00918791,2.655306086,0.055127462,2.995258768,0.082691193,5.659752764,2.048904004,Detroit,41.32237011,46.02377036,0.258303859,0.095552833,0.564940306,-0.085522297,39.25233645,8400,658.8235294,51.73755187,15.39293439,39.6564473,0.909247197,273.9791833,123.3480176,1.657179337,0.155227852,11.8751701,460.2076125,431.4406591,0.26001362,3.266563945,461.6858702,87.21311475,14.15862722,0.058164897,0.128986687,110.2763819,5.702647658,0.129230769,4.676202452,1.65774932,46.63598948,6.816952209,5.56375285,172.3749406,0.084748328,-0.017692405,0,4044.444444,60307.69231,32.47803163,9.579320831,47.19101124,0.192731278,403.1837916,152.9411765,2.74252619,4.294478528,5.920257753,161.1111111,137.3737374,1.428571429,0,15.06299476,141.8103448,6.331701877,0,0.315173345,334.4345616,0,0.195722075,21.87263488,2.124430956,28.43613707,3.703703704,12.92062446,72.65534094
Philadelphia,719813,806193,4998,1666,242,12,318,2671,3313,1587,4522,844,63,3925,98,414,99,55,432,1338,285,502,15751,7542,8209,88,16,3863,492,299,3222,389,13100,11710,6544,7016,16,0,0,428,1494,182,2651,118,29,1083,28,209,80,12,90,187,970,15,2143,847,1296,16,34,828,126,43,1043,35,2367,3069,1938,2980,24352.76471,114.6428571,Philadelphia,2955.775283,3310.478337,20.52333713,6.841112375,0.993727008,0.049275719,1.305806564,10.96795387,13.60420486,6.516713889,18.56873359,3.465725597,0.258697527,16.11726655,0.402418375,1.700012319,0.406524685,0.225847047,1.773925898,5.494242712,1.170298335,2.061367594,64.67848801,30.96978964,33.70869837,0.361355276,0.065700959,15.86267533,2.020304495,1.227786675,13.23053066,1.59735457,53.79266033,48.0848895,26.87169231,28.8098706,0.065700959,0,0,1.757500658,6.134827064,0.747348411,10.88582768,0.484544574,0.119082989,4.447133675,0.114976679,0.858218779,0.328504796,0.049275719,0.369567895,0.76787996,3.983120651,0.061594649,8.799822221,3.478044527,5.321777694,0.065700959,0.139614538,3.400024638,0.517395054,0.176571328,4.282881277,0.143720848,9.71963565,12.60226523,7.958028681,12.23680365,Philadelphia,88.08477635,98.6552481,0.576083305,0.192027768,4.714329446,1.026267563,277.3831776,45053.01205,1856.022409,96.03215768,163.0136986,67.20891872,1.684781571,628.5028022,302.2026432,7.708676917,15.36755738,3.492697088,1046.366782,417.1008684,24.70129388,30.93990755,2674.51789,1116.742464,54.64417998,2.559255489,0.171982249,679.4221106,1402.851324,12.88,29.54259667,23.88386984,262.0898594,2956.537421,20.82906101,666.6938166,0.338993311,0,0,33288.88889,160892.3077,89.56063269,313.5157966,77.34082397,1.397301762,1097.105644,329.4117647,12.46060813,68.71165644,3.38300443,250,377.7777778,461.9047619,9.593421654,167.2538745,2555.603448,56.20469612,3.262452665,2.143178748,1472.935197,393.75,8.41604921,78.9382636,12.39251391,206.4672897,1262.962963,40.64962694,970.9099372
Chicago,1308072,1387526,10368,3097,285,12,373,2216,2666,2033,9111,2058,32,13105,95,145,1,7,2703,3750,478,517,31901,-1,-1,2449,93,3075,370,-1,9156,-1,12432,-1,5540,13234,26,3,0,181,584,104,3524,323,9,4009,57,40,0,6,568,170,1634,24,3197,-1,-1,17,125,515,28,-1,1017,-1,1574,-1,791,3960,41902.58824,5.928571429,Chicago,3121.697382,3311.313354,24.74310165,7.390951563,0.680148917,0.028637849,0.89015981,5.288456139,6.362375482,4.85172894,21.74328695,4.911391126,0.076367598,31.27491774,0.226716306,0.346040677,0.002386487,0.016705412,6.450675516,8.949327853,1.14074099,1.233814,76.13133542,-0.002386487,-0.002386487,5.84450771,0.221943331,7.338448839,0.883000348,-0.002386487,21.85067889,-0.002386487,29.6688117,-0.002386487,13.22114035,31.58277461,0.062048673,0.007159462,0,0.431954224,1.393708658,0.248194692,8.409981694,0.770835439,0.021478387,9.567428097,0.136029783,0.095459497,0,0.014318925,1.355524859,0.405702863,3.899520456,0.057275698,7.629600305,-0.002386487,-0.002386487,0.040570286,0.298310928,1.229041025,0.066821648,-0.002386487,2.427057714,-0.002386487,3.756331211,-0.002386487,1.887711555,9.450490213,Chicago,160.0710595,169.7939845,1.19504436,0.356968787,5.551999555,1.026267563,325.3582555,37378.31325,1493.557423,123.0204011,328.442682,163.8814629,0.855762068,2098.478783,292.9515419,2.69989892,0.155227852,0.444525084,6547.058824,1169.004676,41.42883675,31.86440678,5416.785931,-0.148069804,-0.006656618,71.22291697,0.999646822,540.8291457,1054.989817,-0.043076923,83.95158755,-0.061398123,248.7252772,-0.252479711,17.63340434,1257.557863,0.55086413,0.053077215,0,14077.77778,62892.30769,51.17750439,416.7595878,211.7041199,0.433645374,4061.21563,670.5882353,2.384805383,0,1.691502215,1577.777778,343.4343434,778.0952381,15.34947465,249.5149961,-3.017241379,-0.043367821,3.466355957,7.879333633,916.13723,87.5,-0.195722075,76.9704833,-0.354071826,137.2959502,-0.411522634,16.5912564,1290.202467
Los Angeles,1889064,1903557,7584,1779,145,8,198,2016,6879,2087,4592,705,38,3348,470,292,43,601,1691,2251,1799,1145,9414,2295,7119,222,0,6447,3791,6,141,168,30499,1283,9238,7422,29,5,1,332,1771,432,3299,251,10,989,131,105,39,96,247,178,2480,109,2170,372,1798,20,4,1479,947,1,39,62,5159,497,2133,3992,57904.61765,178.5,Los Angeles,3262.371943,3287.401035,13.09740105,3.072293838,0.250411808,0.013815824,0.341941641,3.481587621,11.87988157,3.604203058,7.930282915,1.217519481,0.065625163,5.781922299,0.811679654,0.504277572,0.074260053,1.03791377,2.920319775,3.887427448,3.106833398,1.977389795,16.25777077,3.963414479,12.29435629,0.383389113,0,11.13382708,6.546973547,0.010361868,0.243503896,0.290132302,52.67110161,2.215712757,15.95382264,12.81763062,0.050082362,0.00863489,0.001726978,0.573356692,3.058478014,0.74605449,5.697300378,0.433471475,0.01726978,1.707981229,0.226234116,0.181332689,0.067352141,0.165789887,0.426563563,0.307402082,4.282905407,0.188240601,3.747542231,0.642435811,3.10510642,0.03453956,0.006907912,2.554200442,1.635448153,0.001726978,0.067352141,0.107072635,8.909479433,0.858308059,3.683644045,6.894096123,Los Angeles,231.1680672,232.941601,0.874152819,0.205052461,2.824701528,0.684178375,172.7102804,34004.81928,3853.781513,126.288036,165.5371305,56.1401513,1.016217455,536.1088871,1449.339207,5.437037825,6.674797649,38.16565363,4095.847751,701.7145402,155.9215007,70.57010786,1598.496058,339.820201,47.38846598,6.456303621,0,1133.894472,10809.36864,0.258461538,1.292832443,10.31488466,610.1892077,323.9314698,29.40386089,705.273875,0.614425376,0.088462025,8.383233533,25822.22222,190723.0769,212.5834798,390.1503632,164.5131086,0.481828194,1001.881331,1541.176471,6.26011413,33.49693252,27.06403544,686.1111111,359.5959596,1180.952381,69.71219735,169.3611328,1122.413793,77.9753423,4.078065832,0.252138676,2631.003812,2959.375,0.195722075,2.951670451,21.95245321,450.0062305,204.526749,44.73975969,1300.628345
Memphis,307019,339870,1646,386,59,5,101,672,1181,1339,2824,203,38,4592,195,243,39,132,417,925,498,140,5422,1668,3725,120,5,1008,1538,1300,3638,4,9964,274,2013,4404,5,1,2,59,458,105,2147,51,10,2238,98,101,36,35,158,73,401,9,749,252,491,2,3,229,231,248,1341,2,2706,145,524,2313,10482.79412,1652.571429,Memphis,2928.789754,3242.169942,15.70192051,3.682224373,0.562827042,0.047697207,0.96348358,6.410504608,11.26608027,12.77331201,26.93938246,1.9365066,0.362498772,43.80511482,1.860191069,2.318084256,0.372038214,1.259206262,3.977947056,8.823983278,4.750641808,1.335521793,51.72285117,15.91178822,35.53441915,1.144732966,0.047697207,9.615756913,14.67166084,12.4012738,34.70448775,0.038157766,95.05099393,2.613806939,19.2028955,42.01169984,0.047697207,0.009539441,0.019078883,0.562827042,4.369064153,1.001641345,20.48118065,0.48651151,0.095394414,21.34926981,0.934865255,0.96348358,0.34341989,0.333880448,1.507231738,0.696379221,3.825315994,0.085854972,7.145041595,2.403939228,4.683865718,0.019078883,0.028618324,2.184532076,2.203610959,2.365781463,12.79239089,0.019078883,25.81372838,1.383219,4.998667284,22.06472792,Memphis,37.57045226,41.59048661,0.189722513,0.044491428,1.149361311,0.427611484,88.09968847,11334.93976,661.6246499,81.02524205,101.8024513,16.16517832,1.016217455,735.3082466,601.3215859,4.52465819,6.05388624,8.382473011,1010.034602,288.3544868,43.16226088,8.628659476,920.6549424,246.9804336,24.79590333,3.489893849,0.053744453,177.2864322,4385.336049,56,33.35691082,0.245592492,199.348348,69.17944094,6.407227968,418.4891061,0.10593541,0.017692405,16.76646707,4588.888889,49323.07692,51.66959578,253.9111336,33.42696629,0.481828194,2267.149059,1152.941176,6.021633592,30.9202454,9.867096255,438.8888889,147.4747475,190.952381,5.756052992,58.45690712,760.3448276,21.29360015,0.407806583,0.189104007,407.3697586,721.875,48.53907451,101.4920532,0.708143652,236.0373832,59.67078189,10.9909208,753.5955318
New York City,3883188,4291945,30031,6151,574,12,919,11231,15374,4628,15151,3177,141,23107,6938,18538,240,2358,7614,8658,3225,5287,100696,27000,73696,4861,35,4135,140927,-1,47057,3280,299713,-1,28098,23097,47,3,11,1223,4197,453,7644,313,29,6126,670,3758,193,298,1029,1169,5151,138,15748,4117,11631,724,28,243,16040,-1,10369,2895,32553,-1,5478,8439,135761.6912,2774,New York City,2860.297309,3161.381508,22.12037854,4.530733189,0.422799683,0.008839018,0.676921444,8.272584042,11.32425493,3.408914518,11.15999651,2.340129953,0.103858459,17.02026529,5.110425437,13.65480928,0.176780355,1.736866991,5.608356771,6.377351317,2.375486024,3.89432391,74.1711444,19.88778997,54.28335443,3.580538779,0.025780468,3.045778205,103.804688,-0.000736585,34.66147158,2.415998189,220.7640443,-0.000736585,20.69656009,17.01289944,0.034619486,0.002209754,0.008102433,0.900843227,3.091446463,0.333672921,5.630454316,0.230551047,0.02136096,4.512318569,0.493511825,2.76808573,0.142160869,0.219502274,0.757945773,0.861067647,3.794148375,0.101648704,11.59973765,3.032519678,8.567217968,0.533287405,0.020624375,0.17899011,11.81482041,-0.000736585,7.637647933,2.132413036,23.97804544,-0.000736585,4.035011609,6.216039243,New York City,475.1925104,525.2128198,3.461456131,0.708981275,11.18192191,1.026267563,801.6199377,189438.5542,8612.885154,280.0484094,546.1788032,252.9890222,3.77070161,3700.080064,21394.71366,345.1774219,37.25468455,149.7414497,18442.21453,2698.997996,279.5146412,325.8551618,17098.16859,3997.884717,490.5661454,141.3697833,0.37621117,727.2613065,401828.5132,-0.043076923,431.4667819,201.3858433,5996.31588,-0.252479711,89.43382585,2194.787212,0.995792851,0.053077215,92.21556886,95122.22222,451984.6154,222.9173989,904.0040547,205.1498127,1.397301762,6205.788712,7882.352941,224.0524657,165.7668712,84.01127668,2858.333333,2361.616162,2452.857143,88.25947921,1229.077935,12421.98276,504.4111269,147.6259831,1.764970734,432.27446,50125,-0.195722075,784.7659206,1025.037936,2839.514019,-0.411522634,114.9012675,2749.499651
