Names,mpop,fpop,memp,femp,mmurder,mman,mforcerape,mrob,magassualt,mburglary,mlartheft,mmotortheft,marson,motherassualts,mforge,mfraud,membezzle,mstolenproperty,mvandalism,mweaponcarry,mprositute,msexoffense,mdrugabuse,msalemanufacture,mpossession,mgambling,mfamilyoffense,mDUI,mliquiorlaws,mdurnk,mdisorderconduct,mvangrancy,malloffense,msuspicion,mcurfewloiter,mrunaway,mviolentcrime,mpropertycrimeindex,fmurder,fman,fforcerape,frob,fagassualt,fburglary,flartheft,fmotortheft,farson,fotherassualts,fforge,ffraud,fembezzle,fstolenproperty,fvandalism,fweaponcarry,fprositute,fsexoffense,fdrugabuse,fsalemanufacture,fpossession,fgambling,ffamilyoffense,fDUI,fliquiorlaws,fdurnk,fdisorderconduct,fvangrancy,falloffense,fsuspicion,fbreakcurfew,frunaway,fviolentcrime,fpropertycrimeindex
San Francisco ,"408,462","396,773",1793,321,2,-1,0,112,541,254,563,67,6,548,30,28,6,65,97,10,224,10,575,325,250,0,-19,230,28,694,42,42,2426,-19,-19,1,655,890,73,-1,58,1030,3341,1311,1624,391,61,2839,139,150,9,477,780,233,504,242,3827,1948,1891,6,-21,1777,177,4573,180,285,18426,-21,-21,0,4502,3387
Northampton,"12,312","16,237",56,8,3,2,1,13,71,67,225,14,3,193,5,6,-1,33,46,7,-1,32,287,42,245,-1,7,145,221,418,23,-1,746,-1,10,-1,88,309,2,-1,0,0,16,12,120,18,1,73,5,2,-1,3,7,1,-1,2,65,9,56,-1,14,61,97,52,12,-1,223,-1,9,-1,18,151
Baltimore,"292,249","328,712",2072,383,73,-1,105,733,841,"1,309","1,092",560,57,"5,156",91,23,-1,-1,417,961,154,118,"15,119","4,423","10,696",130,56,86,46,-1,967,64,"12,718",-1,153,-1,"1,752","3,018",6,-1,0,114,289,230,447,85,18,"1,974",33,29,-1,-1,158,110,598,19,"2,292",479,"1,813",5,36,18,13,-1,400,3,"2,783",-1,20,-1,409,780
Bloomington,40161,43162,100,55,3,2,1,13,71,67,225,14,3,193,5,6,-1,33,46,7,-1,32,287,42,245,-1,7,145,221,418,23,-1,746,-1,10,-1,88,309,2,0,0,0,16,12,120,18,1,73,5,2,-1,3,7,1,-1,2,65,9,56,-1,14,61,97,52,12,-1,223,-1,9,-1,18,151
Detroit,"337,679","376,098",2241,829,29,-1,45,498,"1,176",855,427,498,34,"1,711",40,89,1,187,190,"1,384",3,53,"2,719",589,"2,127",2,12,627,2,3,510,27,"2,331",-1,27,-1,"1,748","1,814",4,-1,0,52,560,66,81,72,4,398,13,46,5,21,58,68,3,0,193,47,146,0,5,188,0,1,289,6,326,-1,9,-1,616,223
Philadelphia,"719,813","806,193",4998,"1,666",242,12,318,"2,671","3,313","1,587","4,522",844,63,"3,925",98,414,99,55,432,"1,338",285,502,"15,751","7,542","8,209",88,16,"3,863",492,299,"3,222",389,"13,100",-1,"11,710",-1,"6,544","7,016",16,0,0,428,"1,494",182,"2,651",118,29,"1,083",28,209,80,12,90,187,970,15,"2,143",847,"1,296",16,34,828,126,43,"1,043",35,"2,367",-1,"3,069",-1,"1,938","2,980"
Chicago,"1,308,072","1,387,526",10368,"3,097",285,12,373,"2,216","2,666","2,033","9,111","2,058",32,"13,105",95,145,1,7,"2,703","3,750",478,517,"31,901",-1,-1,"2,449",93,"3,075",370,-1,"9,156",-1,"12,432",-1,-1,-1,"5,540","13,234",26,3,0,181,584,104,"3,524",323,9,"4,009",57,40,0,6,568,170,"1,634",24,"3,197",-1,-1,17,125,515,28,-1,"1,017",-1,"1,574",-1,-1,-1,791,"3,960"
Los Angeles,"1,889,064","1,903,557",7584,"1,779",145,8,198,"2,016","6,879","2,087","4,592",705,38,"3,348",470,292,43,601,"1,691","2,251","1,799","1,145","9,414","2,295","7,119",222,0,"6,447","3,791",6,141,168,"30,499",-1,"1,283",-1,"9,238","7,422",29,5,1,332,"1,771",432,"3,299",251,10,989,131,105,39,96,247,178,"2,480",109,"2,170",372,"1,798",20,4,"1,479",947,1,39,62,"5,159",-1,497,-1,"2,133","3,992"
Memphis,"307,019","339,870",1646,386,59,5,101,672,"1,181","1,339","2,824",203,38,"4,592",195,243,39,132,417,925,498,140,"5,422","1,668","3,725",120,5,"1,008","1,538","1,300","3,638",4,"9,964",-1,274,-1,"2,013","4,404",5,1,2,59,458,105,"2,147",51,10,"2,238",98,101,36,35,158,73,401,9,749,252,491,2,3,229,231,248,"1,341",2,"2,706",-1,145,-1,524,"2,313"
New York City,"3,883,188","4,291,945",30031,"6,151",574,12,919,"11,231","15,374","4,628","15,151","3,177",141,"23,107","6,938","18,538",240,"2,358","7,614","8,658","3,225","5,287","100,696","27,000","73,696","4,861",35,"4,135","140,927",-1,"47,057","3,280","299,713",-1,-1,-1,"28,098","23,097",47,3,11,"1,223","4,197",453,"7,644",313,29,"6,126",670,"3,758",193,298,"1,029","1,169","5,151",138,"15,748","4,117","11,631",724,28,243,"16,040",-1,"10,369","2,895","32,553",-1,-1,-1,"5,478","8,439"
