Names,GN1B,GP1B,AN1B,AP1B,GN1M,GP1M,AN1M,AP1M,GN1F,GP1F,AN1F,AP1F,GN1D,GP1D,AN1D,AP1D,GN2B,GP2B,AN2B,AP2B,GN2M,GP2M,AN2M,AP2M,GN2F,GP2F,AN2F,AP2F,GN2D,GP2D,AN2D,AP2D,GN3B,GP3B,AN3B,AP3B,GN3M,GP3M,AN3M,AP3M,GN3F,GP3F,AN3F,AP3F,GN3D,GP3D,AN3D,AP3D,GN4B,GP4B,AN4B,AP4B,GN4M,GP4M,AN4M,AP4M,GN4F,GP4F,AN4F,AP4F,GN4D,GP4D,AN4D,AP4D,GN5B,GP5B,AN5B,AP5B,GN5M,GP5M,AN5M,AP5M,GN5F,GP5F,AN5F,AP5F,GN5D,GP5D,AN5D,AP5D,GN6B,GP6B,AN6B,AP6B,GN6M,GP6M,AN6M,AP6M,GN6F,GP6F,AN6F,AP6F,GN6D,GP6D,AN6D,AP6D
Canada,18240,61.8,10049,34,8853,60.7,5235,35.9,9387,62.9,4814,32.2,534,2.2,421,3.7,16653,56.4,7735,26.2,8129,55.7,4087,28,8524,57.1,3648,24.4,395,1.4,439,3.6,19440,65.9,7353,24.9,9553,65.5,3945,27,9887,66.2,3408,22.8,334,0.7,537,4.2,16364,55.4,10153,34.4,7958,54.6,5188,35.6,8406,56.3,4965,33.3,448,1.7,223,2.3,19658,66.6,8355,28.3,9756,66.9,4196,28.8,9902,66.3,4159,27.9,146,0.6,37,0.9,18264,61.9,8557,29,9086,62.3,4408,30.2,9178,61.5,4149,27.8,92,0.8,259,2.4
Newfoundland and Labrador,239,55.6,184,42.9,112,53.6,95,45.5,127,57.6,89,40.4,15,4,6,5.1,222,51.7,153,35.7,105,50.2,81,38.6,117,53.2,72,32.9,12,3,9,5.7,319,74.4,82,19.1,154,73.7,43,20.5,165,75,39,17.8,11,1.3,4,2.7,263,61.3,142,33,125,59.7,75,36.1,138,62.8,66,30.1,13,3.1,9,6,281,65.5,137,32,139,66.6,66,31.7,142,64.4,71,32.3,3,2.2,5,0.6,284,66.2,122,28.4,138,66.1,62,29.8,146,66.3,60,27.1,8,0.2,2,2.7
Prince Edward Island,77,63.5,43,34.9,36,60.2,23,39.3,42,66.7,19,30.7,6,6.5,4,8.6,80,65.9,30,24.4,39,66.5,15,24.9,41,65.4,15,24,2,1.1,0,0.9,92,75.7,22,18.1,45,76.5,10,17.7,47,75,12,18.5,2,1.5,2,0.8,75,61.4,40,32.6,35,59.9,20,34.4,40,62.9,19,30.9,5,3,1,3.5,86,70.3,33,27.2,41,70,16,27.9,44,70.6,17,26.6,3,0.6,1,1.3,89,72.6,28,23.1,43,73.6,14,23.4,45,71.6,14,22.8,2,2,0,0.6
Nova Scotia,455,57.2,328,41.3,214,55.7,165,42.9,242,58.6,164,39.7,28,2.9,1,3.2,453,56.9,240,30.2,210,54.6,124,32.3,243,59,116,28.3,33,4.4,8,4,568,71.3,191,24,269,70,99,25.9,299,72.6,92,22.3,30,2.6,7,3.6,446,56,303,38.1,202,52.7,159,41.3,244,59.1,145,35.1,42,6.4,14,6.2,526,66.1,250,31.3,250,65.2,124,32.4,276,66.9,125,30.4,26,1.7,1,2,501,62.9,248,31.1,241,62.8,120,31.3,260,63,128,31,19,0.2,8,0.3
New Brunswick,408,64.6,212,33.5,189,61.2,116,37.8,219,67.8,95,29.5,30,6.6,21,8.3,376,59.5,179,28.3,171,55.4,104,33.7,205,63.3,75,23.2,34,7.9,29,10.5,452,71.6,140,22.1,211,68.4,81,26.3,242,74.7,59,18.2,31,6.3,22,8.1,377,59.7,221,35,178,57.8,115,37.3,199,61.6,106,32.8,21,3.8,9,4.5,447,70.8,170,26.8,215,69.7,86,27.9,232,71.8,84,25.8,17,2.1,2,2.1,434,68.7,167,26.4,211,68.4,87,28.4,223,69,79,24.5,12,0.6,8,3.9
Quebec,4638,68.2,1913,28.1,2279,67.7,994,29.5,2359,68.8,919,26.8,80,1.1,75,2.7,4427,65.1,1510,22.2,2197,65.2,784,23.3,2229,65.1,726,21.2,32,0.1,58,2.1,4361,64.2,1756,25.8,2121,63,971,28.8,2241,65.4,786,22.9,120,2.4,185,5.9,4004,58.9,2086,30.7,1976,58.7,1073,31.9,2027,59.1,1013,29.5,51,0.4,60,2.4,4955,72.9,1544,22.7,2451,72.8,795,23.6,2504,73.1,749,21.9,53,0.3,46,1.7,4644,68.3,1575,23.2,2305,68.4,842,25,2339,68.3,733,21.4,34,0.1,109,3.6
Ontario,7066,61.9,3741,32.8,3433,61.4,1919,34.3,3633,62.4,1821,31.3,200,1,98,3,6178,54.1,2680,23.5,3042,54.4,1387,24.8,3136,53.8,1293,22.2,94,0.6,94,2.6,7454,65.3,2765,24.2,3686,65.9,1443,25.8,3769,64.7,1323,22.7,83,1.2,120,3.1,6159,53.9,3888,34.1,2974,53.2,1937,34.6,3185,54.7,1952,33.5,211,1.5,15,1.1,7506,65.7,3217,28.2,3753,67.1,1578,28.2,3753,64.4,1639,28.1,0,2.7,61,0.1,6747,59.1,3378,29.6,3395,60.7,1668,29.8,3352,57.5,1710,29.4,43,3.2,42,0.4
Manitoba,547,52.7,450,43.3,273,52.9,222,43,274,52.4,228,43.6,1,0.5,6,0.6,481,46.3,409,39.3,242,46.8,198,38.4,239,45.8,210,40.2,3,1,12,1.8,673,64.8,279,26.8,324,62.8,150,29.2,350,66.9,128,24.6,26,4.1,22,4.6,540,52,403,38.8,255,49.4,198,38.3,285,54.6,205,39.3,30,5.2,7,1,630,60.7,361,34.7,313,60.7,180,35,317,60.8,180,34.5,4,0.1,0,0.5,602,58,350,33.7,307,59.4,171,33.2,295,56.5,179,34.2,12,2.9,8,1
Saskatchewan,480,54,388,43.7,227,50.9,207,46.5,253,57.1,182,40.9,26,6.2,25,5.6,424,47.8,343,38.6,201,45.1,182,40.9,224,50.4,161,36.3,23,5.3,21,4.6,602,67.7,232,26.1,286,64.2,135,30.4,316,71.3,97,21.8,30,7.1,38,8.6,468,52.6,345,38.8,233,52.4,176,39.6,235,52.8,169,38.1,2,0.4,7,1.5,534,60,319,35.9,260,58.4,166,37.3,274,61.7,153,34.5,14,3.3,13,2.8,528,59.4,316,35.5,266,59.8,162,36.3,262,59.1,154,34.6,4,0.7,8,1.7
Alberta,1971,59.3,1246,37.5,970,57.1,677,39.9,1002,61.5,569,34.9,32,4.4,108,5,1826,54.9,1017,30.6,908,53.5,561,33.1,918,56.4,456,28,10,2.9,105,5.1,2209,66.4,888,26.7,1100,64.8,509,30,1110,68.1,379,23.3,10,3.3,130,6.7,1896,57,1194,35.9,948,55.8,638,37.6,948,58.2,556,34.1,0,2.4,82,3.5,2135,64.2,1054,31.7,1081,63.7,549,32.4,1054,64.7,505,31,27,1,44,1.4,2031,61,1067,32.1,1002,59,592,34.9,1029,63.2,475,29.2,27,4.2,117,5.7
