Names,Sex ,GoodNumber,GoodPercent,AverageNumber,AveragePercent,SurveyNumber
Newfoundland and Labrador,Male,112,53.6,95,45.5,Survey1
Prince Edward Island,Male,36,60.2,23,39.3,Survey1
Nova Scotia,Male,214,55.7,165,42.9,Survey1
New Brunswick,Male,189,61.2,116,37.8,Survey1
Quebec,Male,2279,67.7,994,29.5,Survey1
Ontario,Male,3433,61.4,1919,34.3,Survey1
Manitoba,Male,273,52.9,222,43,Survey1
Saskatchewan,Male,227,50.9,207,46.5,Survey1
Alberta,Male,970,57.1,677,39.9,Survey1
British Columbia,Male,1100,56.1,794,40.5,Survey1
Yukon,Male,8,51.3,7,44.8,Survey1
Northwest Territories,Male,8,47.6,9,50.7,Survey1
Nunavut,Male,5,41.9,7,56.4,Survey1
Newfoundland and Labrador,Female,127,57.6,89,40.4,Survey1
Prince Edward Island,Female,42,66.7,19,30.7,Survey1
Nova Scotia,Female,242,58.6,164,39.7,Survey1
New Brunswick,Female,219,67.8,95,29.5,Survey1
Quebec,Female,2359,68.8,919,26.8,Survey1
Ontario,Female,3633,62.4,1821,31.3,Survey1
Manitoba,Female,274,52.4,228,43.6,Survey1
Saskatchewan,Female,253,57.1,182,40.9,Survey1
Alberta,Female,1002,61.5,569,34.9,Survey1
British Columbia,Female,1215,60.1,709,35.1,Survey1
Yukon,Female,7,48.9,7,46.1,Survey1
Northwest Territories,Female,9,54.7,7,42.8,Survey1
Nunavut,Female,6,45.4,6,45.4,Survey1
Newfoundland and Labrador,Male,105,81,81,38.6,Survey2
Prince Edward Island,Male,39,15,15,24.9,Survey2
Nova Scotia,Male,210,124,124,32.3,Survey2
New Brunswick,Male,171,104,104,33.7,Survey2
Quebec,Male,2197,784,784,23.3,Survey2
Ontario,Male,3042,1387,1387,24.8,Survey2
Manitoba,Male,242,198,198,38.4,Survey2
Saskatchewan,Male,201,182,182,40.9,Survey2
Alberta,Male,908,561,561,33.1,Survey2
British Columbia,Male,995,630,630,32.1,Survey2
Yukon,Male,8,5,5,34.7,Survey2
Northwest Territories,Male,7,9,9,52.5,Survey2
Nunavut,Male,5,7,7,52.8,Survey2
Newfoundland and Labrador,Female,117,72,72,32.9,Survey2
Prince Edward Island,Female,41,15,15,24,Survey2
Nova Scotia,Female,243,116,116,28.3,Survey2
New Brunswick,Female,205,75,75,23.2,Survey2
Quebec,Female,2229,726,726,21.2,Survey2
Ontario,Female,3136,1293,1293,22.2,Survey2
Manitoba,Female,239,210,210,40.2,Survey2
Saskatchewan,Female,224,161,161,36.3,Survey2
Alberta,Female,918,456,456,28,Survey2
