,Male Population,Female Population,Employees,Murder and Non-Negligent Manslaughter,Manslaughter by Negligence,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson,Other Assaults,Forgery and Counterfeiting,Fraud,Embezzlement,"Stolen Property; Buying, Receiving, Possessing",Vandalism,"Weapons; Carrying, Possessing, etc.",Prostitution and Commercialized Vice,Sex Offense (except forcible rape and prostitution),Drug Abuse Violations -Total,     Sale-Manufacturing-Total,     Possession-SubTotal,Gambling,Offenses Against the Family and Children,Driving Under the Influence,Liquor Laws,Drunkenness,Disorderly Conduct,Vagrancy,All Other Offenses (except traffic),Curfew and Loitering Law Violations,Violent Crime,Property Crime Index,
San Francisco ,408462,396773,0.00358061,5.62E-05,2.38E-06,4.65E-05,0.000668713,0.002012034,0.000714861,0.00056118,0.000230055,4.14E-05,0.001600447,7.48E-05,8.71E-05,-2.16E-07,0.000298749,0.000508141,0.00017591,0.000126501,0.000183255,0.002393089,0.001178073,0.001224809,4.90E-06,7.21E-08,0.000669859,0.000106639,0.002856514,9.40E-05,0.000179653,0.011657421,7.21E-08,0.0027835,0.0015475,
Northampton,12312,16237,0.004055706,-1.96E-05,-1.96E-05,-1.96E-05,0.000406108,0.001515517,0.000506963,0.002711521,-6.16E-05,-1.96E-05,0.004989242,-0.000123175,-6.16E-05,-1.96E-05,0.000182077,0.000484643,8.12E-05,-1.96E-05,0.000182077,0.00292129,0.000588185,0.002333106,-1.96E-05,-1.96E-05,0.006041605,0.001028188,0.010750601,0.001795764,-1.96E-05,0.016885003,-1.96E-05,0.001921625,0.003156896,
Baltimore,292249,328712,0.005924691,0.000231534,-3.80E-07,0.000359283,0.002161327,0.001998494,0.003779357,0.002376687,0.001657589,0.00014028,0.011637233,0.000210986,-9.52E-06,-3.80E-07,-3.80E-07,0.000946202,0.002953652,-0.001292274,0.000345964,0.044760613,0.013677152,0.031083461,0.000429615,8.21E-05,0.00023951,0.000117852,-3.80E-07,0.002091952,0.000209865,0.035051307,0.000462683,0.004750638,0.007953913,
Bloomington,40161,43162,0.001215709,2.84E-05,4.98E-05,2.49E-05,0.000323697,0.001397188,0.001390263,0.002822227,-6.84E-05,5.15E-05,0.003114355,8.66E-06,0.000103062,-1.73E-06,0.000752187,0.00098321,0.00015113,-1.73E-06,0.000750456,0.005640282,0.000837274,0.004803008,-1.73E-06,-0.000150061,0.002197188,0.003255504,0.009203344,0.000294673,-1.73E-06,0.013408653,4.05E-05,0.001774147,0.004195584,
Detroit,337679,376098,0.004432267,7.52E-05,-3.03E-07,0.000133263,0.001336512,0.001993624,0.002356504,0.001049145,0.001283334,9.01E-05,0.004008707,8.39E-05,0.000141255,-1.03E-05,0.000497944,0.000408449,0.003917763,9.08E-07,0.000156954,0.007538862,0.001619293,0.005910685,5.92E-06,2.22E-05,0.001356923,5.92E-06,6.23E-06,0.000741893,6.40E-05,0.00603621,5.60E-05,0.003538643,0.004779035,
Philadelphia,719813,806193,0.004876967,0.000316352,1.67E-05,0.000441781,0.003179796,0.00274943,0.001978987,0.002993893,0.00102616,5.16E-05,0.004109454,0.000101415,0.000315906,3.83E-05,6.15E-05,0.00048852,0.001626862,-0.00080725,0.000678797,0.0192239,0.009427104,0.009796795,0.000102408,-1.99E-05,0.004339622,0.000527221,0.000362049,0.003182428,0.000497004,0.01526315,0.012461333,0.006687359,0.006050591,
Chicago,1308072,1387526,0.005694139,0.00019914,7.01E-06,0.000285152,0.001563648,0.001617221,0.001479242,0.004425441,0.001340519,1.80E-05,0.007129246,3.15E-05,8.20E-05,7.64E-07,1.03E-06,0.001657038,0.002744294,-0.000812212,0.000377941,0.0220837,-4.38E-08,-4.38E-08,0.001859969,-1.90E-05,0.001979624,0.000262679,-4.38E-08,0.006266655,-4.38E-08,0.008369671,-4.38E-08,0.003665161,0.00726318,
Los Angeles,1889064,1903557,0.00308012,6.15E-05,1.61E-06,0.000104288,0.000892785,0.002711122,0.000877836,0.000697762,0.000241342,1.49E-05,0.001252753,0.000179982,9.94E-05,2.27E-06,0.000267715,0.000765395,0.001098086,-0.000350501,0.000548859,0.003843449,0.001019464,0.002823985,0.000107012,-2.10E-06,0.002635835,0.001509324,2.65E-06,5.42E-05,5.64E-05,0.013434843,0.000418082,0.003769719,0.001831803,
Memphis,307019,339870,0.004225503,0.000177459,1.33E-05,0.000323085,0.002015194,0.002499093,0.004052352,0.002881007,0.000511139,9.43E-05,0.008371858,0.000346794,0.00049431,2.11E-05,0.00032696,0.000893338,0.002798055,0.000442187,0.000429517,0.015456361,0.004691429,0.01068813,0.000384971,7.46E-06,0.002609397,0.00432979,0.003504575,0.007903803,7.14E-06,0.02449215,0.000465819,0.005014832,0.007538846,
New York City,3883188,4291945,0.006300444,0.000136866,2.39E-06,0.000234098,0.002607259,0.00298124,0.001086258,0.00212068,0.000745215,2.96E-05,0.004523198,0.00163057,0.003898319,1.68E-05,0.000537801,0.001721009,0.001957241,-0.000369652,0.001329357,0.022262072,0.005993811,0.016268261,0.001083118,2.49E-06,0.001008229,0.032554339,-2.45E-08,0.009702215,0.000170147,0.069597529,-2.45E-08,0.005959463,0.003981707,
